Time,Accel
3.415,4.091845E-05
3.42,1.362705E-06
3.425,-1.780873E-06
3.43,1.898470E-05
3.435,5.364730E-05
3.44,6.741292E-05
3.445,3.340824E-05
3.45,9.178384E-06
3.455,3.323516E-05
3.46,2.877178E-05
3.465,-2.071560E-05
3.47,-1.813871E-05
3.475,4.717447E-05
3.48,7.816135E-05
3.485,3.690274E-05
3.49,-2.964462E-06
3.495,-1.090422E-06
3.5,1.164214E-05
3.505,2.042724E-05
3.51,4.048649E-05
3.515,3.234921E-05
3.52,2.580383E-05
3.525,6.518240E-05
3.53,6.855356E-05
3.535,4.273947E-05
3.54,2.717327E-05
3.545,3.758597E-05
3.55,3.117184E-05
3.555,8.316760E-06
3.56,8.195845E-09
3.565,1.479890E-05
3.57,4.200163E-05
3.575,4.203327E-05
3.58,4.735153E-05
3.585,5.716180E-05
3.59,4.111934E-05
3.595,3.437518E-05
3.6,2.431052E-05
3.605,1.558750E-05
3.61,4.174710E-05
3.615,7.222495E-05
3.62,6.646867E-05
3.625,2.480721E-05
3.63,-3.370105E-06
3.635,-6.235150E-07
3.64,8.556066E-06
3.645,7.652228E-06
3.65,1.325204E-05
3.655,3.704380E-05
3.66,3.241354E-05
3.665,6.029181E-06
3.67,5.673634E-06
3.675,4.530621E-05
3.68,6.704242E-05
3.685,3.243395E-05
3.69,-3.247830E-06
3.695,-4.057190E-06
3.7,1.582073E-05
3.705,4.130943E-05
3.71,3.049520E-05
3.715,1.243127E-05
3.72,2.943175E-05
3.725,3.902666E-05
3.73,4.848610E-05
3.735,5.587825E-05
3.74,2.921494E-05
3.745,-7.362432E-07
3.75,4.103788E-06
3.755,5.415107E-05
3.76,1.057835E-04
3.765,9.708338E-05
3.77,5.326183E-05
3.775,1.307559E-05
3.78,-3.441264E-06
3.785,5.941805E-07
3.79,4.018427E-06
3.795,1.260839E-05
3.8,2.615385E-05
3.805,-3.278177E-06
3.81,-3.071064E-05
3.815,-4.548785E-05
3.82,-4.025549E-05
3.825,2.136410E-05
3.83,6.795679E-05
3.835,3.743833E-05
3.84,-5.185333E-06
3.845,-7.726513E-06
3.85,6.159398E-06
3.855,7.832719E-06
3.86,1.135788E-05
3.865,4.255003E-05
3.87,6.286863E-05
3.875,2.243504E-05
3.88,-3.641346E-05
3.885,-3.156409E-05
3.89,5.369439E-06
3.895,2.294935E-05
3.9,4.497417E-05
3.905,5.805776E-05
3.91,3.754175E-05
3.915,3.788471E-05
3.92,5.333946E-05
3.925,3.867143E-05
3.93,3.900883E-05
3.935,5.183613E-05
3.94,3.773168E-05
3.945,3.782862E-05
3.95,6.028243E-05
3.955,6.083003E-05
3.96,3.127047E-05
3.965,2.545480E-05
3.97,1.167597E-05
3.975,-2.079444E-05
3.98,9.844299E-06
3.985,6.604042E-05
3.99,6.946406E-05
3.995,2.010646E-05
4,-2.843910E-06
4.005,2.537201E-05
4.01,3.879137E-05
4.015,3.483960E-05
4.02,2.557951E-05
4.025,3.024345E-05
4.03,2.156218E-05
4.035,-8.012370E-06
4.04,-3.946714E-05
4.045,-1.849258E-05
4.05,2.582021E-05
4.055,2.559960E-06
4.06,-2.648069E-05
4.065,-2.474570E-06
4.07,3.917590E-05
4.075,3.910768E-05
4.08,3.885532E-05
4.085,4.865982E-05
4.09,2.617366E-05
4.095,-4.857581E-06
4.1,-7.348339E-07
4.105,4.041076E-05
4.11,6.907889E-05
4.115,6.579955E-05
4.12,5.672234E-05
4.125,4.886658E-05
